code,description
S62630,Displaced fracture of distal phalanx of right index finger
S62631,Displaced fracture of distal phalanx of left index finger
S62632,Displaced fracture of distal phalanx of right middle finger
S62633,Displaced fracture of distal phalanx of left middle finger
S62634,Displaced fracture of distal phalanx of right ring finger
S62635,Displaced fracture of distal phalanx of left ring finger
S62636,Displaced fracture of distal phalanx of right little finger
S62637,Displaced fracture of distal phalanx of left little finger
S62638,Displaced fracture of distal phalanx of other finger
S62639,Displaced fracture of distal phalanx of unspecified finger
S6264,Nondisplaced fracture of proximal phalanx of finger
S62640,Nondisp fx of proximal phalanx of right index finger
S62641,Nondisp fx of proximal phalanx of left index finger
S62642,Nondisp fx of proximal phalanx of right middle finger
S62643,Nondisp fx of proximal phalanx of left middle finger
S62644,Nondisp fx of proximal phalanx of right ring finger
S62645,Nondisp fx of proximal phalanx of left ring finger
S62646,Nondisp fx of proximal phalanx of right little finger
S62647,Nondisp fx of proximal phalanx of left little finger
S62648,Nondisplaced fracture of proximal phalanx of other finger
S62649,Nondisp fx of proximal phalanx of unspecified finger
S6265,Nondisplaced fracture of middle phalanx of finger
S62650,Nondisp fx of middle phalanx of right index finger
S62651,Nondisplaced fracture of middle phalanx of left index finger
S62652,Nondisp fx of middle phalanx of right middle finger
S62653,Nondisp fx of middle phalanx of left middle finger
S62654,Nondisplaced fracture of middle phalanx of right ring finger
S62655,Nondisplaced fracture of middle phalanx of left ring finger
S62656,Nondisp fx of middle phalanx of right little finger
S62657,Nondisp fx of middle phalanx of left little finger
S62658,Nondisplaced fracture of middle phalanx of other finger
S62659,Nondisp fx of middle phalanx of unspecified finger
S6266,Nondisplaced fracture of distal phalanx of finger
S62660,Nondisp fx of distal phalanx of right index finger
S62661,Nondisplaced fracture of distal phalanx of left index finger
S62662,Nondisp fx of distal phalanx of right middle finger
S62663,Nondisp fx of distal phalanx of left middle finger
S62664,Nondisplaced fracture of distal phalanx of right ring finger
S62665,Nondisplaced fracture of distal phalanx of left ring finger
S62666,Nondisp fx of distal phalanx of right little finger
S62667,Nondisp fx of distal phalanx of left little finger
S62668,Nondisplaced fracture of distal phalanx of other finger
S62669,Nondisp fx of distal phalanx of unspecified finger
S629,Unspecified fracture of wrist and hand
S6290,Unspecified fracture of unspecified wrist and hand
S6291,Unspecified fracture of right wrist and hand
S6292,Unspecified fracture of left wrist and hand
S63,Dislocation and sprain of joints and ligaments at wrs/hnd lv
S630,Subluxation and dislocation of wrist and hand joints
S6300,Unspecified subluxation and dislocation of wrist and hand
S63001,Unspecified subluxation of right wrist and hand
S63002,Unspecified subluxation of left wrist and hand
S63003,Unspecified subluxation of unspecified wrist and hand
S63004,Unspecified dislocation of right wrist and hand
S63005,Unspecified dislocation of left wrist and hand
S63006,Unspecified dislocation of unspecified wrist and hand
S6301,Subluxation and dislocation of distal radioulnar joint
S63011,Subluxation of distal radioulnar joint of right wrist
S63012,Subluxation of distal radioulnar joint of left wrist
S63013,Subluxation of distal radioulnar joint of unspecified wrist
S63014,Dislocation of distal radioulnar joint of right wrist
S63015,Dislocation of distal radioulnar joint of left wrist
S63016,Dislocation of distal radioulnar joint of unspecified wrist
S6302,Subluxation and dislocation of radiocarpal joint
S63021,Subluxation of radiocarpal joint of right wrist
S63022,Subluxation of radiocarpal joint of left wrist
S63023,Subluxation of radiocarpal joint of unspecified wrist
S63024,Dislocation of radiocarpal joint of right wrist
S63025,Dislocation of radiocarpal joint of left wrist
S63026,Dislocation of radiocarpal joint of unspecified wrist
S6303,Subluxation and dislocation of midcarpal joint
S63031,Subluxation of midcarpal joint of right wrist
S63032,Subluxation of midcarpal joint of left wrist
S63033,Subluxation of midcarpal joint of unspecified wrist
S63034,Dislocation of midcarpal joint of right wrist
S63035,Dislocation of midcarpal joint of left wrist
S63036,Dislocation of midcarpal joint of unspecified wrist
S6304,Subluxation and dislocation of carpometacarp joint of thumb
S63041,Subluxation of carpometacarpal joint of right thumb
S63042,Subluxation of carpometacarpal joint of left thumb
S63043,Subluxation of carpometacarpal joint of unspecified thumb
S63044,Dislocation of carpometacarpal joint of right thumb
S63045,Dislocation of carpometacarpal joint of left thumb
S63046,Dislocation of carpometacarpal joint of unspecified thumb
S6305,Subluxation and dislocation of other carpometacarpal joint
S63051,Subluxation of other carpometacarpal joint of right hand
S63052,Subluxation of other carpometacarpal joint of left hand
S63053,Subluxation of other carpometacarpal joint of unsp hand
S63054,Dislocation of other carpometacarpal joint of right hand
S63055,Dislocation of other carpometacarpal joint of left hand
S63056,Dislocation of other carpometacarpal joint of unsp hand
S6306,"Subluxation and disloc of metacarpal (bone), proximal end"
S63061,"Subluxation of metacarpal (bone), proximal end of right hand"
S63062,"Subluxation of metacarpal (bone), proximal end of left hand"
S63063,"Subluxation of metacarpal (bone), proximal end of unsp hand"
S63064,"Dislocation of metacarpal (bone), proximal end of right hand"
S63065,"Dislocation of metacarpal (bone), proximal end of left hand"
S63066,"Dislocation of metacarpal (bone), proximal end of unsp hand"
S6307,Subluxation and dislocation of distal end of ulna
S63071,Subluxation of distal end of right ulna
S63072,Subluxation of distal end of left ulna
S63073,Subluxation of distal end of unspecified ulna
S63074,Dislocation of distal end of right ulna
S63075,Dislocation of distal end of left ulna
S63076,Dislocation of distal end of unspecified ulna
S6309,Other subluxation and dislocation of wrist and hand
S63091,Other subluxation of right wrist and hand
S63092,Other subluxation of left wrist and hand
S63093,Other subluxation of unspecified wrist and hand
S63094,Other dislocation of right wrist and hand
S63095,Other dislocation of left wrist and hand
S63096,Other dislocation of unspecified wrist and hand
S631,Subluxation and dislocation of thumb
S6310,Unspecified subluxation and dislocation of thumb
S63101,Unspecified subluxation of right thumb
S63102,Unspecified subluxation of left thumb
S63103,Unspecified subluxation of unspecified thumb
S63104,Unspecified dislocation of right thumb
S63105,Unspecified dislocation of left thumb
S63106,Unspecified dislocation of unspecified thumb
S6311,Subluxation and dislocation of MCP joint of thumb
S63111,Subluxation of metacarpophalangeal joint of right thumb
S63112,Subluxation of metacarpophalangeal joint of left thumb
S63113,Subluxation of metacarpophalangeal joint of unsp thumb
S63114,Dislocation of metacarpophalangeal joint of right thumb
S63115,Dislocation of metacarpophalangeal joint of left thumb
S63116,Dislocation of metacarpophalangeal joint of unsp thumb
S6312,Subluxation and dislocation of interphaln joint of thumb
S63121,Subluxation of interphalangeal joint of right thumb
S63122,Subluxation of interphalangeal joint of left thumb
S63123,Subluxation of interphalangeal joint of unspecified thumb
S63124,Dislocation of interphalangeal joint of right thumb
S63125,Dislocation of interphalangeal joint of left thumb
S63126,Dislocation of interphalangeal joint of unspecified thumb
S632,Subluxation and dislocation of other finger(s)
S6320,Unspecified subluxation of other finger
S63200,Unspecified subluxation of right index finger
S63201,Unspecified subluxation of left index finger
S63202,Unspecified subluxation of right middle finger
S63203,Unspecified subluxation of left middle finger
S63204,Unspecified subluxation of right ring finger
S63205,Unspecified subluxation of left ring finger
S63206,Unspecified subluxation of right little finger
S63207,Unspecified subluxation of left little finger
S63208,Unspecified subluxation of other finger
S63209,Unspecified subluxation of unspecified finger
S6321,Subluxation of metacarpophalangeal joint of finger
S63210,Subluxation of MCP joint of right index finger
S63211,Subluxation of MCP joint of left index finger
S63212,Subluxation of MCP joint of right middle finger
S63213,Subluxation of MCP joint of left middle finger
S63214,Subluxation of MCP joint of right ring finger
S63215,Subluxation of metacarpophalangeal joint of left ring finger
S63216,Subluxation of MCP joint of right little finger
S63217,Subluxation of MCP joint of left little finger
S63218,Subluxation of metacarpophalangeal joint of other finger
S63219,Subluxation of metacarpophalangeal joint of unsp finger
S6322,Subluxation of unspecified interphalangeal joint of finger
S63220,Subluxation of unsp interphalangeal joint of r idx fngr
S63221,Subluxation of unsp interphalangeal joint of l idx fngr
S63222,Subluxation of unsp interphalangeal joint of r mid finger
S63223,Subluxation of unsp interphalangeal joint of l mid finger
S63224,Subluxation of unsp interphalangeal joint of r rng fngr
S63225,Subluxation of unsp interphalangeal joint of l rng fngr
S63226,Subluxation of unsp interphalangeal joint of r little finger
S63227,Subluxation of unsp interphalangeal joint of l little finger
S63228,Subluxation of unsp interphalangeal joint of other finger
S63229,Subluxation of unsp interphalangeal joint of unsp finger
S6323,Subluxation of proximal interphalangeal joint of finger
S63230,Subluxation of proximal interphalangeal joint of r idx fngr
S63231,Subluxation of proximal interphalangeal joint of l idx fngr
S63232,Subluxation of proximal interphaln joint of r mid finger
S63233,Subluxation of proximal interphaln joint of l mid finger
S63234,Subluxation of proximal interphalangeal joint of r rng fngr
S63235,Subluxation of proximal interphalangeal joint of l rng fngr
S63236,Subluxation of proximal interphaln joint of r little finger
S63237,Subluxation of proximal interphaln joint of l little finger
S63238,Subluxation of proximal interphalangeal joint of oth finger
S63239,Subluxation of proximal interphalangeal joint of unsp finger
S6324,Subluxation of distal interphalangeal joint of finger
S63240,Subluxation of distal interphalangeal joint of r idx fngr
S63241,Subluxation of distal interphalangeal joint of l idx fngr
S63242,Subluxation of distal interphalangeal joint of r mid finger
S63243,Subluxation of distal interphalangeal joint of l mid finger
S63244,Subluxation of distal interphalangeal joint of r rng fngr
S63245,Subluxation of distal interphalangeal joint of l rng fngr
S63246,Subluxation of distal interphaln joint of r little finger
S63247,Subluxation of distal interphaln joint of l little finger
S63248,Subluxation of distal interphalangeal joint of other finger
S63249,Subluxation of distal interphalangeal joint of unsp finger
S6325,Unspecified dislocation of other finger
S63250,Unspecified dislocation of right index finger
S63251,Unspecified dislocation of left index finger
S63252,Unspecified dislocation of right middle finger
S63253,Unspecified dislocation of left middle finger
S63254,Unspecified dislocation of right ring finger
S63255,Unspecified dislocation of left ring finger
S63256,Unspecified dislocation of right little finger
S63257,Unspecified dislocation of left little finger
S63258,Unspecified dislocation of other finger
S63259,Unspecified dislocation of unspecified finger
S6326,Dislocation of metacarpophalangeal joint of finger
S63260,Dislocation of MCP joint of right index finger
S63261,Dislocation of MCP joint of left index finger
S63262,Dislocation of MCP joint of right middle finger
S63263,Dislocation of MCP joint of left middle finger
S63264,Dislocation of MCP joint of right ring finger
S63265,Dislocation of metacarpophalangeal joint of left ring finger
S63266,Dislocation of MCP joint of right little finger
S63267,Dislocation of MCP joint of left little finger
S63268,Dislocation of metacarpophalangeal joint of other finger
S63269,Dislocation of metacarpophalangeal joint of unsp finger
S6327,Dislocation of unspecified interphalangeal joint of finger
S63270,Dislocation of unsp interphalangeal joint of r idx fngr
S63271,Dislocation of unsp interphalangeal joint of l idx fngr
S63272,Dislocation of unsp interphalangeal joint of r mid finger
S63273,Dislocation of unsp interphalangeal joint of l mid finger
S63274,Dislocation of unsp interphalangeal joint of r rng fngr
S63275,Dislocation of unsp interphalangeal joint of l rng fngr
S63276,Dislocation of unsp interphalangeal joint of r little finger
S63277,Dislocation of unsp interphalangeal joint of l little finger
S63278,Dislocation of unsp interphalangeal joint of other finger
S63279,Dislocation of unsp interphalangeal joint of unsp finger
S6328,Dislocation of proximal interphalangeal joint of finger
S63280,Dislocation of proximal interphalangeal joint of r idx fngr
S63281,Dislocation of proximal interphalangeal joint of l idx fngr
S63282,Dislocation of proximal interphaln joint of r mid finger
S63283,Dislocation of proximal interphaln joint of l mid finger
S63284,Dislocation of proximal interphalangeal joint of r rng fngr
S63285,Dislocation of proximal interphalangeal joint of l rng fngr
S63286,Dislocation of proximal interphaln joint of r little finger
S63287,Dislocation of proximal interphaln joint of l little finger
S63288,Dislocation of proximal interphalangeal joint of oth finger
S63289,Dislocation of proximal interphalangeal joint of unsp finger
S6329,Dislocation of distal interphalangeal joint of finger
S63290,Dislocation of distal interphalangeal joint of r idx fngr
S63291,Dislocation of distal interphalangeal joint of l idx fngr
S63292,Dislocation of distal interphalangeal joint of r mid finger
S63293,Dislocation of distal interphalangeal joint of l mid finger
S63294,Dislocation of distal interphalangeal joint of r rng fngr
S63295,Dislocation of distal interphalangeal joint of l rng fngr
S63296,Dislocation of distal interphaln joint of r little finger
S63297,Dislocation of distal interphaln joint of l little finger
S63298,Dislocation of distal interphalangeal joint of other finger
S63299,Dislocation of distal interphalangeal joint of unsp finger
S633,Traumatic rupture of ligament of wrist
S6330,Traumatic rupture of unspecified ligament of wrist
S63301,Traumatic rupture of unspecified ligament of right wrist
S63302,Traumatic rupture of unspecified ligament of left wrist
S63309,Traumatic rupture of unsp ligament of unspecified wrist
S6331,Traumatic rupture of collateral ligament of wrist
S63311,Traumatic rupture of collateral ligament of right wrist
S63312,Traumatic rupture of collateral ligament of left wrist
S63319,Traumatic rupture of collateral ligament of unsp wrist
S6332,Traumatic rupture of radiocarpal ligament
S63321,Traumatic rupture of right radiocarpal ligament
S63322,Traumatic rupture of left radiocarpal ligament
S63329,Traumatic rupture of unspecified radiocarpal ligament
S6333,Traumatic rupture of ulnocarpal (palmar) ligament
S63331,Traumatic rupture of right ulnocarpal (palmar) ligament
S63332,Traumatic rupture of left ulnocarpal (palmar) ligament
S63339,Traumatic rupture of unsp ulnocarpal (palmar) ligament
S6339,Traumatic rupture of other ligament of wrist
S63391,Traumatic rupture of other ligament of right wrist
S63392,Traumatic rupture of other ligament of left wrist
S63399,Traumatic rupture of other ligament of unspecified wrist
S634,Traum rupt of ligmt of finger at MCP and interphaln joint(s)
S6340,Traumatic rupture of unsp ligament of finger at MCP/IP jt
S63400,Traum rupture of unsp ligament of r idx fngr at MCP/IP jt
S63401,Traum rupture of unsp ligament of l idx fngr at MCP/IP jt
S63402,Traum rupture of unsp ligament of r mid finger at MCP/IP jt
S63403,Traum rupture of unsp ligament of l mid finger at MCP/IP jt
S63404,Traum rupture of unsp ligament of r rng fngr at MCP/IP jt
S63405,Traum rupture of unsp ligament of l rng fngr at MCP/IP jt
S63406,Traum rupture of unsp ligmt of r little finger at MCP/IP jt
S63407,Traum rupture of unsp ligmt of l little finger at MCP/IP jt
S63408,Traumatic rupture of unsp ligament of finger at MCP/IP jt
S63409,Traum rupture of unsp ligament of unsp finger at MCP/IP jt
S6341,Traumatic rupture of collat ligament of finger at MCP/IP jt
S63410,Traum rupture of collat ligament of r idx fngr at MCP/IP jt
S63411,Traum rupture of collat ligament of l idx fngr at MCP/IP jt
S63412,Traum rupture of collat ligmt of r mid finger at MCP/IP jt
S63413,Traum rupture of collat ligmt of l mid finger at MCP/IP jt
S63414,Traum rupture of collat ligament of r rng fngr at MCP/IP jt
S63415,Traum rupture of collat ligament of l rng fngr at MCP/IP jt
S63416,Traum rupt of collat ligmt of r little finger at MCP/IP jt
S63417,Traum rupt of collat ligmt of l little finger at MCP/IP jt
S63418,Traumatic rupture of collat ligament of finger at MCP/IP jt
S63419,Traum rupture of collat ligament of unsp finger at MCP/IP jt
S6342,Traumatic rupture of palmar ligament of finger at MCP/IP jt
S63420,Traum rupture of palmar ligament of r idx fngr at MCP/IP jt
S63421,Traum rupture of palmar ligament of l idx fngr at MCP/IP jt
S63422,Traum rupture of palmar ligmt of r mid finger at MCP/IP jt
S63423,Traum rupture of palmar ligmt of l mid finger at MCP/IP jt
S63424,Traum rupture of palmar ligament of r rng fngr at MCP/IP jt
S63425,Traum rupture of palmar ligament of l rng fngr at MCP/IP jt
S63426,Traum rupt of palmar ligmt of r little finger at MCP/IP jt
S63427,Traum rupt of palmar ligmt of l little finger at MCP/IP jt
S63428,Traumatic rupture of palmar ligament of finger at MCP/IP jt
S63429,Traum rupture of palmar ligament of unsp finger at MCP/IP jt
S6343,Traumatic rupture of volar plate of finger at MCP/IP jt
S63430,Traumatic rupture of volar plate of r idx fngr at MCP/IP jt
S63431,Traumatic rupture of volar plate of l idx fngr at MCP/IP jt
S63432,Traum rupture of volar plate of r mid finger at MCP/IP jt
S63433,Traum rupture of volar plate of l mid finger at MCP/IP jt
S63434,Traumatic rupture of volar plate of r rng fngr at MCP/IP jt
S63435,Traumatic rupture of volar plate of l rng fngr at MCP/IP jt
S63436,Traum rupture of volar plate of r little finger at MCP/IP jt
S63437,Traum rupture of volar plate of l little finger at MCP/IP jt
S63438,Traumatic rupture of volar plate of finger at MCP/IP jt
S63439,Traumatic rupture of volar plate of unsp finger at MCP/IP jt
S6349,Traumatic rupture of ligament of finger at MCP/IP jt
S63490,Traumatic rupture of ligament of r idx fngr at MCP/IP jt
S63491,Traumatic rupture of ligament of l idx fngr at MCP/IP jt
S63492,Traumatic rupture of ligament of r mid finger at MCP/IP jt
S63493,Traumatic rupture of ligament of l mid finger at MCP/IP jt
S63494,Traumatic rupture of ligament of r rng fngr at MCP/IP jt
S63495,Traumatic rupture of ligament of l rng fngr at MCP/IP jt
S63496,Traum rupture of ligament of r little finger at MCP/IP jt
S63497,Traum rupture of ligament of l little finger at MCP/IP jt
S63498,Traumatic rupture of ligament of finger at MCP/IP jt
S63499,Traumatic rupture of ligament of unsp finger at MCP/IP jt
S635,Other and unspecified sprain of wrist
S6350,Unspecified sprain of wrist
S63501,Unspecified sprain of right wrist
S63502,Unspecified sprain of left wrist
S63509,Unspecified sprain of unspecified wrist
S6351,Sprain of carpal (joint)
S63511,Sprain of carpal joint of right wrist
S63512,Sprain of carpal joint of left wrist
S63519,Sprain of carpal joint of unspecified wrist
S6352,Sprain of radiocarpal joint
S63521,Sprain of radiocarpal joint of right wrist
S63522,Sprain of radiocarpal joint of left wrist
S63529,Sprain of radiocarpal joint of unspecified wrist
S6359,Other specified sprain of wrist
S63591,Other specified sprain of right wrist
S63592,Other specified sprain of left wrist
S63599,Other specified sprain of unspecified wrist
S636,Other and unspecified sprain of finger(s)
S6360,Unspecified sprain of thumb
S63601,Unspecified sprain of right thumb
S63602,Unspecified sprain of left thumb
S63609,Unspecified sprain of unspecified thumb
S6361,Unspecified sprain of other and unspecified finger(s)
S63610,Unspecified sprain of right index finger
S63611,Unspecified sprain of left index finger
S63612,Unspecified sprain of right middle finger
S63613,Unspecified sprain of left middle finger
S63614,Unspecified sprain of right ring finger
S63615,Unspecified sprain of left ring finger
S63616,Unspecified sprain of right little finger
S63617,Unspecified sprain of left little finger
S63618,Unspecified sprain of other finger
S63619,Unspecified sprain of unspecified finger
S6362,Sprain of interphalangeal joint of thumb
S63621,Sprain of interphalangeal joint of right thumb
S63622,Sprain of interphalangeal joint of left thumb
S63629,Sprain of interphalangeal joint of unspecified thumb
S6363,Sprain of interphalangeal joint of other and unsp finger(s)
S63630,Sprain of interphalangeal joint of right index finger
S63631,Sprain of interphalangeal joint of left index finger
S63632,Sprain of interphalangeal joint of right middle finger
S63633,Sprain of interphalangeal joint of left middle finger
S63634,Sprain of interphalangeal joint of right ring finger
S63635,Sprain of interphalangeal joint of left ring finger
S63636,Sprain of interphalangeal joint of right little finger
S63637,Sprain of interphalangeal joint of left little finger
S63638,Sprain of interphalangeal joint of other finger
S63639,Sprain of interphalangeal joint of unspecified finger
S6364,Sprain of metacarpophalangeal joint of thumb
S63641,Sprain of metacarpophalangeal joint of right thumb
S63642,Sprain of metacarpophalangeal joint of left thumb
S63649,Sprain of metacarpophalangeal joint of unspecified thumb
S6365,Sprain of metacarpophalangeal joint of and unsp finger(s)
S63650,Sprain of metacarpophalangeal joint of right index finger
S63651,Sprain of metacarpophalangeal joint of left index finger
S63652,Sprain of metacarpophalangeal joint of right middle finger
S63653,Sprain of metacarpophalangeal joint of left middle finger
S63654,Sprain of metacarpophalangeal joint of right ring finger
S63655,Sprain of metacarpophalangeal joint of left ring finger
S63656,Sprain of metacarpophalangeal joint of right little finger
S63657,Sprain of metacarpophalangeal joint of left little finger
S63658,Sprain of metacarpophalangeal joint of other finger
S63659,Sprain of metacarpophalangeal joint of unspecified finger
S6368,Other sprain of thumb
S63681,Other sprain of right thumb
S63682,Other sprain of left thumb
S63689,Other sprain of unspecified thumb
S6369,Other sprain of other and unspecified finger(s)
S63690,Other sprain of right index finger
S63691,Other sprain of left index finger
S63692,Other sprain of right middle finger
S63693,Other sprain of left middle finger
S63694,Other sprain of right ring finger
S63695,Other sprain of left ring finger
S63696,Other sprain of right little finger
S63697,Other sprain of left little finger
S63698,Other sprain of other finger
S63699,Other sprain of unspecified finger
S638,Sprain of other part of wrist and hand
S638X,Sprain of other part of wrist and hand
S638X1,Sprain of other part of right wrist and hand
S638X2,Sprain of other part of left wrist and hand
S638X9,Sprain of other part of unspecified wrist and hand
S639,Sprain of unspecified part of wrist and hand
S6390,Sprain of unspecified part of unspecified wrist and hand
S6391,Sprain of unspecified part of right wrist and hand
S6392,Sprain of unspecified part of left wrist and hand
S64,Injury of nerves at wrist and hand level
S640,Injury of ulnar nerve at wrist and hand level
S6400,Injury of ulnar nerve at wrist and hand level of unsp arm
S6401,Injury of ulnar nerve at wrist and hand level of right arm
S6402,Injury of ulnar nerve at wrist and hand level of left arm
S641,Injury of median nerve at wrist and hand level
S6410,Injury of median nerve at wrist and hand level of unsp arm
S6411,Injury of median nerve at wrist and hand level of right arm
S6412,Injury of median nerve at wrist and hand level of left arm
S642,Injury of radial nerve at wrist and hand level
S6420,Injury of radial nerve at wrist and hand level of unsp arm
S6421,Injury of radial nerve at wrist and hand level of right arm
S6422,Injury of radial nerve at wrist and hand level of left arm
S643,Injury of digital nerve of thumb
S6430,Injury of digital nerve of unspecified thumb
S6431,Injury of digital nerve of right thumb
S6432,Injury of digital nerve of left thumb
S644,Injury of digital nerve of other and unspecified finger
S6440,Injury of digital nerve of unspecified finger
S6449,Injury of digital nerve of other finger
S64490,Injury of digital nerve of right index finger
S64491,Injury of digital nerve of left index finger
S64492,Injury of digital nerve of right middle finger
S64493,Injury of digital nerve of left middle finger
S64494,Injury of digital nerve of right ring finger
S64495,Injury of digital nerve of left ring finger
S64496,Injury of digital nerve of right little finger
S64497,Injury of digital nerve of left little finger
S64498,Injury of digital nerve of other finger
S648,Injury of other nerves at wrist and hand level
S648X,Injury of other nerves at wrist and hand level
S648X1,Injury of other nerves at wrist and hand level of right arm
S648X2,Injury of other nerves at wrist and hand level of left arm
S648X9,Injury of other nerves at wrist and hand level of unsp arm
S649,Injury of unspecified nerve at wrist and hand level
S6490,Injury of unsp nerve at wrist and hand level of unsp arm
S6491,Injury of unsp nerve at wrist and hand level of right arm
S6492,Injury of unsp nerve at wrist and hand level of left arm
S65,Injury of blood vessels at wrist and hand level
S650,Injury of ulnar artery at wrist and hand level
S6500,Unspecified injury of ulnar artery at wrist and hand level
S65001,Unsp injury of ulnar artery at wrs/hnd lv of right arm
S65002,Unsp injury of ulnar artery at wrs/hnd lv of left arm
S65009,Unsp injury of ulnar artery at wrs/hnd lv of unsp arm
S6501,Laceration of ulnar artery at wrist and hand level
S65011,Laceration of ulnar artery at wrs/hnd lv of right arm
S65012,Laceration of ulnar artery at wrs/hnd lv of left arm
S65019,Laceration of ulnar artery at wrs/hnd lv of unsp arm
S6509,Oth injury of ulnar artery at wrist and hand level
S65091,Inj ulnar artery at wrist and hand level of right arm
S65092,Inj ulnar artery at wrist and hand level of left arm
S65099,Inj ulnar artery at wrist and hand level of unsp arm
S651,Injury of radial artery at wrist and hand level
S6510,Unspecified injury of radial artery at wrist and hand level
S65101,Unsp injury of radial artery at wrs/hnd lv of right arm
S65102,Unsp injury of radial artery at wrs/hnd lv of left arm
S65109,Unsp injury of radial artery at wrs/hnd lv of unsp arm
S6511,Laceration of radial artery at wrist and hand level
S65111,Laceration of radial artery at wrs/hnd lv of right arm
S65112,Laceration of radial artery at wrs/hnd lv of left arm
S65119,Laceration of radial artery at wrs/hnd lv of unsp arm
S6519,Oth injury of radial artery at wrist and hand level
S65191,Inj radial artery at wrist and hand level of right arm
S65192,Inj radial artery at wrist and hand level of left arm
S65199,Inj radial artery at wrist and hand level of unsp arm
S652,Injury of superficial palmar arch
S6520,Unspecified injury of superficial palmar arch
S65201,Unspecified injury of superficial palmar arch of right hand
S65202,Unspecified injury of superficial palmar arch of left hand
S65209,Unsp injury of superficial palmar arch of unspecified hand
S6521,Laceration of superficial palmar arch
S65211,Laceration of superficial palmar arch of right hand
S65212,Laceration of superficial palmar arch of left hand
S65219,Laceration of superficial palmar arch of unspecified hand
S6529,Other specified injury of superficial palmar arch
S65291,Oth injury of superficial palmar arch of right hand
S65292,Oth injury of superficial palmar arch of left hand
S65299,Oth injury of superficial palmar arch of unspecified hand
S653,Injury of deep palmar arch
S6530,Unspecified injury of deep palmar arch
S65301,Unspecified injury of deep palmar arch of right hand
S65302,Unspecified injury of deep palmar arch of left hand
S65309,Unspecified injury of deep palmar arch of unspecified hand
S6531,Laceration of deep palmar arch
S65311,Laceration of deep palmar arch of right hand
S65312,Laceration of deep palmar arch of left hand
S65319,Laceration of deep palmar arch of unspecified hand
S6539,Other specified injury of deep palmar arch
S65391,Other specified injury of deep palmar arch of right hand
S65392,Other specified injury of deep palmar arch of left hand
S65399,Oth injury of deep palmar arch of unspecified hand
S654,Injury of blood vessel of thumb
S6540,Unspecified injury of blood vessel of thumb
S65401,Unspecified injury of blood vessel of right thumb
S65402,Unspecified injury of blood vessel of left thumb
S65409,Unspecified injury of blood vessel of unspecified thumb
S6541,Laceration of blood vessel of thumb
S65411,Laceration of blood vessel of right thumb
S65412,Laceration of blood vessel of left thumb
S65419,Laceration of blood vessel of unspecified thumb
S6549,Other specified injury of blood vessel of thumb
S65491,Other specified injury of blood vessel of right thumb
S65492,Other specified injury of blood vessel of left thumb
S65499,Other specified injury of blood vessel of unspecified thumb
S655,Injury of blood vessel of other and unspecified finger
S6550,Unsp injury of blood vessel of other and unspecified finger
S65500,Unspecified injury of blood vessel of right index finger
S65501,Unspecified injury of blood vessel of left index finger
S65502,Unspecified injury of blood vessel of right middle finger
S65503,Unspecified injury of blood vessel of left middle finger
S65504,Unspecified injury of blood vessel of right ring finger
S65505,Unspecified injury of blood vessel of left ring finger
S65506,Unspecified injury of blood vessel of right little finger
S65507,Unspecified injury of blood vessel of left little finger
S65508,Unspecified injury of blood vessel of other finger
S65509,Unspecified injury of blood vessel of unspecified finger
S6551,Laceration of blood vessel of other and unspecified finger
S65510,Laceration of blood vessel of right index finger
S65511,Laceration of blood vessel of left index finger
S65512,Laceration of blood vessel of right middle finger
S65513,Laceration of blood vessel of left middle finger
S65514,Laceration of blood vessel of right ring finger
S65515,Laceration of blood vessel of left ring finger
S65516,Laceration of blood vessel of right little finger
S65517,Laceration of blood vessel of left little finger
S65518,Laceration of blood vessel of other finger
S65519,Laceration of blood vessel of unspecified finger
S6559,Oth injury of blood vessel of other and unspecified finger
S65590,Other specified injury of blood vessel of right index finger
S65591,Other specified injury of blood vessel of left index finger
S65592,Oth injury of blood vessel of right middle finger
S65593,Other specified injury of blood vessel of left middle finger
S65594,Other specified injury of blood vessel of right ring finger
S65595,Other specified injury of blood vessel of left ring finger
S65596,Oth injury of blood vessel of right little finger
S65597,Other specified injury of blood vessel of left little finger
S65598,Other specified injury of blood vessel of other finger
S65599,Other specified injury of blood vessel of unspecified finger
S658,Injury of other blood vessels at wrist and hand level
S6580,Unsp injury of other blood vessels at wrist and hand level
S65801,Unsp injury of blood vessels at wrs/hnd lv of right arm
S65802,Unsp injury of blood vessels at wrs/hnd lv of left arm
S65809,Unsp injury of blood vessels at wrs/hnd lv of unsp arm
S6581,Laceration of other blood vessels at wrist and hand level
S65811,Laceration of blood vessels at wrs/hnd lv of right arm
S65812,Laceration of blood vessels at wrs/hnd lv of left arm
S65819,Laceration of blood vessels at wrs/hnd lv of unsp arm
S6589,Oth injury of other blood vessels at wrist and hand level
S65891,Inj oth blood vessels at wrist and hand level of right arm
S65892,Inj oth blood vessels at wrist and hand level of left arm
S65899,Inj oth blood vessels at wrist and hand level of unsp arm
S659,Injury of unspecified blood vessel at wrist and hand level
S6590,Unsp injury of unsp blood vessel at wrist and hand level
S65901,Unsp injury of unsp blood vessel at wrs/hnd lv of right arm
S65902,Unsp injury of unsp blood vessel at wrs/hnd lv of left arm
S65909,Unsp injury of unsp blood vessel at wrs/hnd lv of unsp arm
